1106	2024-02-10	1 3 4 29 42 45 	0 쌍
1105	2024-02-03	6 16 34 37 39 40 	0 쌍
1104	2024-01-27	1 7 21 30 35 38	0 쌍
1103	2024-01-20	10 12 29 31 40 44	0 쌍
1102	2024-01-13	13 14 22 26 37 38	2 쌍
1101	2024-01-06	6 7 13 28 36 42	1 쌍
1100	2023-12-30	17 26 29 30 31 43	2 쌍
1099	2023-12-23	3 20 28 38 40 43	0 쌍
1098	2023-12-16	12 16 21 24 41 43	0 쌍
1097	2023-12-09	14 33 34 35 37 40	2 쌍
1096	2023-12-02	1 12 16 19 23 43	0 쌍
1095	2023-11-25	8 14 28 29 34 40	1 쌍
1094	2023-11-18	6 7 15 22 26 40	1 쌍
1093	2023-11-11	10 17 22 30 35 43	0 쌍
1092	2023-11-04	7 18 19 26 33 45	1 쌍
1091	2023-10-28	6 20 23 24 28 30	1 쌍
1090	2023-10-21	12 19 21 29 40 45	0 쌍
1089	2023-10-14	4 18 31 37 42 43	1 쌍
1088	2023-10-07	11 21 22 30 39 44	1 쌍
1087	2023-09-30	13 14 18 21 34 44	1 쌍
1086	2023-09-23	11 16 25 27 35 36	1 쌍
1085	2023-09-16	4 7 17 18 38 44	1 쌍
1084	2023-09-09	8 12 13 29 33 42	1 쌍
1083	2023-09-02	3 7 14 15 22 38	1 쌍
1082	2023-08-26	21 26 27 32 34 42	1 쌍
1081	2023-08-19	1 9 16 23 24 38	1 쌍
1080	2023-08-12	13 16 23 31 36 44	0 쌍
1079	2023-08-05	4 8 18 24 37 45	0 쌍
1078	2023-07-29	6 10 11 14 36 38	1 쌍
1077	2023-07-22	4 8 17 30 40 43	0 쌍
1076	2023-07-15	3 7 9 33 36 37	1 쌍
1075	2023-07-08	1 23 24 35 44 45	2 쌍
1074	2023-07-01	1 6 20 27 28 41	1 쌍
1073	2023-06-24	6 18 28 30 32 38	0 쌍
1072	2023-06-17	16 18 20 23 32 43	0 쌍
1071	2023-06-10	1 2 11 21 30 35	1 쌍
1070	2023-06-03	3 6 14 22 30 41	0 쌍
1069	2023-05-27	1 10 18 22 28 31	0 쌍
1068	2023-05-20	4 7 19 26 33 35	0 쌍
1067	2023-05-13	7 10 19 23 28 33	0 쌍
1066	2023-05-06	6 11 16 19 21 32	0 쌍
1065	2023-04-29	3 18 19 23 32 45	1 쌍
1064	2023-04-22	3 6 9 18 22 35	0 쌍
1063	2023-04-15	3 6 22 23 24 38	2 쌍
1062	2023-04-08	20 31 32 40 41 45	2 쌍
1061	2023-04-01	4 24 27 35 37 45	0 쌍
1060	2023-03-25	3 10 24 33 38 45	0 쌍
1059	2023-03-18	7 10 22 25 34 40	0 쌍
1058	2023-03-11	11 23 25 30 32 40	0 쌍
1057	2023-03-04	8 13 19 27 40 45	0 쌍
1056	2023-02-25	13 20 24 32 36 45	0 쌍
1055	2023-02-18	4 7 12 14 22 33	0 쌍
1054	2023-02-11	14 19 27 28 30 45	1 쌍
1053	2023-02-04	22 26 29 30 34 45	1 쌍
1052	2023-01-28	5 17 26 27 35 38	1 쌍
1051	2023-01-21	21 26 30 32 33 35	1 쌍
1050	2023-01-14	6 12 31 35 38 43	0 쌍
1049	2023-01-07	3 5 13 20 21 37	1 쌍
1048	2022-12-31	6 12 17 21 32 39	0 쌍
1047	2022-12-24	2 20 33 40 42 44	0 쌍
1046	2022-12-17	7 16 25 29 35 36	1 쌍
1045	2022-12-10	6 14 15 19 21 41	1 쌍
1044	2022-12-03	12 17 20 26 28 36	0 쌍
1043	2022-11-26	3 5 12 22 26 31	0 쌍
1042	2022-11-19	5 14 15 23 34 43	1 쌍
1041	2022-11-12	6 7 9 11 17 18	2 쌍
1040	2022-11-05	8 16 26 29 31 36	0 쌍
1039	2022-10-29	2 3 6 19 36 39	1 쌍
1038	2022-10-22	7 16 24 27 37 44	0 쌍
1037	2022-10-15	2 14 15 22 27 33	1 쌍
1036	2022-10-08	2 5 22 32 34 45	0 쌍
1035	2022-10-01	9 14 34 35 41 42	2 쌍
1034	2022-09-24	26 31 32 33 38 40	2 쌍
1033	2022-09-17	3 11 15 20 35 44	0 쌍
1032	2022-09-10	1 6 12 19 36 42	0 쌍
1031	2022-09-03	6 7 22 32 35 36	2 쌍
1030	2022-08-27	2 5 11 17 24 29	0 쌍
1029	2022-08-20	12 30 32 37 39 41	0 쌍
1028	2022-08-13	5 7 12 13 18 35	1 쌍
1027	2022-08-06	14 16 27 35 39 45	0 쌍
1026	2022-07-30	5 12 13 31 32 41	2 쌍
1025	2022-07-23	8 9 20 25 29 33	1 쌍
1024	2022-07-16	9 18 20 22 38 44	0 쌍
1023	2022-07-09	10 14 16 18 29 35	0 쌍
1022	2022-07-02	5 6 11 29 42 45	1 쌍
1021	2022-06-25	12 15 17 24 29 45	0 쌍
1020	2022-06-18	12 27 29 38 41 45	0 쌍
1019	2022-06-11	1 4 13 17 34 39	0 쌍
1018	2022-06-04	3 19 21 25 37 45	0 쌍
1017	2022-05-28	12 18 22 23 30 34	1 쌍
1016	2022-05-21	15 26 28 34 41 42	1 쌍
1015	2022-05-14	14 23 31 33 37 40	0 쌍
1014	2022-05-07	3 11 14 18 26 27	1 쌍
